customer_id;customer_name;phone;contact_first_name;contact_last_name
1;Land of Toys Inc.;2125557818;Kwai;Yu
2;Reims Collectables;26.47.1555;Paul;Henriot
3;Lyon Souveniers;+33 1 46 62 7555;Daniel;Da Cunha
4;Toys4GrownUps.com;6265557265;Julie;Young
5;Technics Stores Inc.;6505556809;Juri;Hirano
6;Daedalus Designs Imports;20.16.1555;Martine;Rance
7;Herkku Gifts;+47 2267 3215;Veysel;Oeztan
8;Auto Canal Petit;(1) 47.55.6555;Dominique;Perrier
9;Australian Collectors, Co.;03 9520 4555;Peter;Ferguson
10;Vitachrome Inc.;2125551500;Michael;Frick
11;Tekni Collectables Inc.;2015559350;William;Brown
12;Gift Depot Inc.;2035552570;Julie;King
13;La Rochelle Gifts;40.67.8555;Janine;Labrune
14;Marta's Replicas Co.;6175558555;Marta;Hernandez
15;Toys of Finland, Co.;90-224 8555;Matti;Karttunen
16;Baane Mini Imports;07-98 9555;Jonas;Bergulfsen
17;Diecast Classics Inc.;2155551555;Kyung;Yu
18;Salzburg Collectables;6562-9555;Georg;Pipps
19;Souveniers And Things Co.;+61 2 9495 8555;Adrian;Huxley
20;FunGiftIdeas.com;5085552555;Violeta;Benitez
21;UK Collectables, Ltd.;(171) 555-2282;Elizabeth;Devon
22;Euro Shopping Channel;(91) 555 94 44;Diego;Freyre
23;Volvo Model Replicas, Co;0921-12 3555;Christina;Berglund
24;Corrida Auto Replicas, Ltd;(91) 555 22 82;Mart¡n;Sommer
25;Dragon Souveniers, Ltd.;+65 221 7555;Eric;Natividad
26;Classic Legends Inc.;2125558493;Maria;Hernandez
27;Australian Gift Network, Co;61-7-3844-6555;Tony;Calaghan
28;Classic Gift Ideas, Inc;2155554695;Francisca;Cervantes
29;Saveley & Henriot, Co.;78.32.5555;Mary;Saveley
30;Canadian Gift Exchange Network;(604) 555-3392;Yoshi;Tannamuri
31;West Coast Collectables Co.;3105553722;Steve;Thompson
32;Cambridge Collectables Co.;6175555555;Kyung;Tseng
33;Super Scale Inc.;2035559545;Leslie;Murphy
34;Tokyo Collectables, Ltd;+81 3 3584 0555;Akiko;Shimamura
35;Amica Models & Co.;011-4988555;Paolo;Accorti
36;Scandinavian Gift Ideas;0695-34 6555;Maria;Larsson
37;Auto Assoc. & Cie.;30.59.8555;Daniel;Tonini
38;Mini Gifts Distributors Ltd.;4155551450;Valarie;Nelson
39;Online Diecast Creations Co.;6035558647;Valarie;Young
40;Collectables For Less Inc.;6175558555;Allen;Nelson
41;Anna's Decorations, Ltd;02 9936 8555;Anna;O'Hara
42;Quebec Home Shopping Network;(514) 555-8054;Jean;Fresnisre
43;Osaka Souveniers Co.;+81 06 6342 5555;Mory;Kentary
44;Motor Mint Distributors Inc.;2155559857;Rosa;Hernandez
45;Atelier graphique;40.32.2555;Carine;Schmitt
46;Mini Classics;9145554562;Steve;Frick
47;Danish Wholesale Imports;31 12 3555;Jytte;Petersen
48;Stylish Desk Decors, Co.;(171) 555-0297;Ann;Brown
49;Mini Creations Ltd.;5085559555;Wing C;Tam
50;Alpha Cognac;61.77.6555;Annette;Roulet
51;Double Decker Gift Stores, Ltd;(171) 555-7555;Thomas;Hardy
52;Enaco Distributors;(93) 203 4555;Eduardo;Saavedra
53;Collectable Mini Designs Co.;7605558146;Valarie;Thompson
54;Petit Auto;(02) 5554 67;Catherine;Dewey
55;Royal Canadian Collectables, Ltd.;(604) 555-4555;Elizabeth;Lincoln
56;Gifts4AllAges.com;6175559555;Juri;Yoshido
57;giftsbymail.co.uk;(198) 555-8888;Helen;Bennett
58;Oulu Toy Supplies, Inc.;981-443655;Pirkko;Koskitalo
59;The Sharp Gifts Warehouse;4085553659;Sue;Frick
60;La Corne D'abondance, Co.;(1) 42.34.2555;Marie;Bertrand
61;Mini Auto Werke;7675-3555;Roland;Mendel
62;Diecast Collectables;6175552555;Valarie;Franco
63;Handji Gifts& Co;+65 224 1555;Wendy;Victorino
64;Cruz & Sons Co.;+63 2 555 3587;Arnold;Cruz
65;Marseille Mini Autos;91.24.4555;Laurence;Lebihan
66;Toms Spezialitten, Ltd;0221-5554327;Henriette;Pfalzheim
67;Vida Sport, Ltd;0897-034555;Michael;Holz
68;L'ordine Souveniers;0522-556555;Maurizio;Moroni
69;Online Mini Collectables;6175557555;Miguel;Barajas
70;Blauer See Auto, Co.;+49 69 66 90 2555;Roland;Keitel
71;Suominen Souveniers;+358 9 8045 555;Kalle;Suominen
72;Muscle Machine Inc;2125557413;Jeff;Young
73;Clover Collections, Co.;+353 1862 1555;Dean;Cassidy
74;CAF Imports;+34 913 728 555;Jesus;Fernandez
75;AV Stores, Co.;(171) 555-1555;Victoria;Ashworth
76;Heintze Collectables;86 21 3555;Palle;Ibsen
77;Microscale Inc.;2125551957;Kee;Kuo
78;Boards & Toys Co.;3105552373;Leslie;Young
79;Iberia Gift Imports, Corp.;(95) 555 82 82;Jose Pedro;Roel
80;Signal Collectibles Ltd.;4155554312;Sue;Taylor
81;Mini Caravy;88.60.1555;Frederique;Citeaux
82;Signal Gift Stores;7025551838;Sue;King
83;Norway Gifts By Mail, Co.;+47 2212 1555;Jan;Klaeboe
84;Rovelli Gifts;035-640555;Giovanni;Rovelli
85;Australian Collectables, Ltd;61-9-3844-6555;Sean;Connery
86;Gift Ideas Corp.;2035554407;Dan;Lewis
87;Bavarian Collectables Imports, Co.;+49 89 61 08 9555;Michael;Donnermeyer
88;Royale Belge;(071) 23 67 2555;Pascale;Cartrain
89;Auto-Moto Classics Inc.;6175558428;Leslie;Taylor
