product_id;product_code;product_line;product_price
1;S24_2840;Classic Cars;35000
2;S24_2972;Classic Cars;37000
3;S24_1628;Classic Cars;50000
4;S24_1444;Classic Cars;57000
5;S24_3371;Classic Cars;61000
6;S18_4933;Classic Cars;71000
7;S24_1046;Classic Cars;73000
8;S18_1889;Classic Cars;77000
9;S12_3990;Classic Cars;79000
10;S18_3278;Classic Cars;80000
11;S24_4620;Classic Cars;80000
12;S24_3191;Classic Cars;85000
13;S24_2766;Classic Cars;90000
14;S700_2824;Classic Cars;101000
15;S24_3432;Classic Cars;107000
16;S12_4675;Classic Cars;115000
17;S12_3380;Classic Cars;117000
18;S24_2887;Classic Cars;117000
19;S24_4048;Classic Cars;118000
20;S18_1589;Classic Cars;124000
21;S18_2870;Classic Cars;132000
22;S10_4757;Classic Cars;136000
23;S24_3856;Classic Cars;140000
24;S18_1129;Classic Cars;141000
25;S18_3685;Classic Cars;141000
26;S18_1984;Classic Cars;142000
27;S18_4027;Classic Cars;143000
28;S18_3482;Classic Cars;146000
29;S10_4962;Classic Cars;147000
30;S18_4721;Classic Cars;148000
31;S12_3148;Classic Cars;151000
32;S18_2238;Classic Cars;163000
33;S18_3232;Classic Cars;169000
34;S12_3891;Classic Cars;173000
35;S12_1099;Classic Cars;194000
36;S12_1108;Classic Cars;207000
37;S10_1949;Classic Cars;214000
38;S32_2206;Motorcycles;40000
39;S18_2625;Motorcycles;60000
40;S18_3782;Motorcycles;62000
41;S24_2360;Motorcycles;69000
42;S24_2000;Motorcycles;76000
43;S50_4713;Motorcycles;81000
44;S10_1678;Motorcycles;95000
45;S32_1374;Motorcycles;99000
46;S32_4485;Motorcycles;102000
47;S24_1578;Motorcycles;112000
48;S10_2016;Motorcycles;118000
49;S12_2823;Motorcycles;150000
50;S10_4698;Motorcycles;193000
51;S72_1253;Planes;49000
52;S24_2841;Planes;68000
53;S24_3949;Planes;68000
54;S24_4278;Planes;72000
55;S700_4002;Planes;74000
56;S700_3167;Planes;80000
57;S18_2581;Planes;84000
58;S700_1691;Planes;91000
59;S700_2466;Planes;99000
60;S24_1785;Planes;109000
61;S700_2834;Planes;118000
62;S18_1662;Planes;157000
63;S72_3212;Ships;54000
64;S700_1138;Ships;66000
65;S700_2610;Ships;72000
66;S18_3029;Ships;86000
67;S700_1938;Ships;86000
68;S700_2047;Ships;90000
69;S700_3962;Ships;99000
70;S700_3505;Ships;100000
71;S24_2011;Ships;122000
72;S50_1514;Trains;58000
73;S32_3207;Trains;62000
74;S18_3259;Trains;100000
75;S32_2509;Trucks and Buses;54000
76;S18_2432;Trucks and Buses;60000
77;S32_3522;Trucks and Buses;64000
78;S32_1268;Trucks and Buses;96000
79;S50_1392;Trucks and Buses;115000
80;S18_1097;Trucks and Buses;116000
81;S12_4473;Trucks and Buses;118000
82;S18_4600;Trucks and Buses;121000
83;S18_2319;Trucks and Buses;122000
84;S24_2300;Trucks and Buses;127000
85;S12_1666;Trucks and Buses;136000
86;S24_1937;Vintage Cars;33000
87;S24_3969;Vintage Cars;41000
88;S50_1341;Vintage Cars;43000
89;S24_2022;Vintage Cars;44000
90;S18_4668;Vintage Cars;50000
91;S18_1367;Vintage Cars;53000
92;S18_2248;Vintage Cars;60000
93;S18_2957;Vintage Cars;62000
94;S24_3420;Vintage Cars;65000
95;S32_4289;Vintage Cars;68000
96;S24_3816;Vintage Cars;83000
97;S18_4522;Vintage Cars;87000
98;S24_3151;Vintage Cars;88000
99;S18_4409;Vintage Cars;92000
100;S24_4258;Vintage Cars;97000
101;S18_3320;Vintage Cars;99000
102;S18_2949;Vintage Cars;101000
103;S18_1342;Vintage Cars;102000
104;S18_3136;Vintage Cars;104000
105;S18_3856;Vintage Cars;105000
106;S18_2325;Vintage Cars;127000
107;S18_3140;Vintage Cars;136000
108;S18_2795;Vintage Cars;168000
109;S18_1749;Vintage Cars;170000
