order_id;order_quantity;item_price;order_value;order_line_nuber;order_date;days_since_last_order;order_status;address_id;customer_id;product_id
10107;30;95700;2871000;2;24.02.2018;828;Shipped;1;1;44
10329;42;104670;4396140;1;15.11.2019;216;Shipped;1;1;44
10121;34;81350;2765900;5;07.05.2018;757;Shipped;2;2;44
10134;41;94740;3884340;2;01.07.2018;703;Shipped;3;3;44
10145;45;83260;3746700;6;25.08.2018;649;Shipped;4;4;44
10168;36;96660;3479760;1;28.10.2018;586;Shipped;5;5;44
10180;29;86130;2497770;9;11.11.2018;573;Shipped;6;6;44
10188;48;114840;5512320;1;18.11.2018;567;Shipped;7;7;44
10211;41;114840;4708440;14;15.01.2019;510;Shipped;8;8;44
10223;37;107180;3965660;1;20.02.2019;475;Shipped;9;9;44
10237;23;101440;2333120;7;05.04.2019;432;Shipped;10;10;44
10251;28;113880;3188640;2;18.05.2019;390;Shipped;11;11;44
10263;34;108140;3676760;2;28.06.2019;350;Shipped;12;12;44
10275;45;92830;4177350;1;23.07.2019;326;Shipped;13;13;44
10375;21;34910;733110;12;03.02.2020;139;Shipped;13;13;44
10285;36;113880;4099680;6;27.08.2019;292;Shipped;14;14;44
10299;23;112930;2597390;9;30.09.2019;259;Shipped;15;15;44
10309;41;107180;4394380;5;15.10.2019;245;Shipped;16;16;44
10318;46;94740;4358040;1;02.11.2019;228;Shipped;17;17;44
10341;41;188730;7737930;9;24.11.2019;208;Shipped;18;18;44
10361;20;72550;1451000;13;17.12.2019;186;Shipped;19;19;44
10388;42;76360;3207120;4;03.03.2020;111;Shipped;20;20;44
10403;24;101440;2434560;7;08.04.2020;76;Shipped;21;21;44
10417;66;113880;7516080;2;13.05.2020;42;Disputed;22;22;44
10107;39;99910;3896490;5;24.02.2018;878;Shipped;1;1;48
10329;20;158800;3176000;2;15.11.2019;266;Shipped;1;1;48
10134;27;122510;3307770;5;01.07.2018;753;Shipped;3;3;48
10145;37;140350;5192950;9;25.08.2018;699;Shipped;4;4;48
10168;27;135590;3660930;4;28.10.2018;636;Shipped;5;5;48
10180;42;111800;4695600;12;11.11.2018;623;Shipped;6;6;48
10188;38;96340;3660920;4;18.11.2018;617;Shipped;7;7;48
10402;45;129640;5833800;1;07.04.2020;127;Shipped;8;8;48
10120;29;96340;2793860;3;29.04.2018;815;Shipped;9;9;48
10223;47;115370;5422390;4;20.02.2019;525;Shipped;9;9;48
10251;44;130830;5756520;5;18.05.2019;440;Shipped;11;11;48
10263;40;111800;4472000;5;28.06.2019;400;Shipped;12;12;48
10275;22;132020;2904440;4;23.07.2019;376;Shipped;13;13;48
10285;47;137970;6484590;9;27.08.2019;342;Shipped;14;14;48
10318;45;123700;5566500;4;02.11.2019;278;Shipped;17;17;48
10361;26;51150;1329900;8;17.12.2019;236;Shipped;19;19;48
10388;50;44510;2225500;5;03.03.2020;161;Shipped;20;20;48
10417;45;130830;5887350;5;13.05.2020;92;Disputed;22;22;48
